sub_sentence	context	target_sentence
the selfsame day	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.
finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.
Nothing afeard	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.
pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
his kingdom's great defence	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.	As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
herald thee into his sight, Not pay thee.	We are sent To give thee from our royal master thanks; Only to herald thee into his sight, Not pay thee.	We are sent To give thee from our royal master thanks; Only to herald thee into his sight, Not pay thee.
a greater honour	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane!
earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane!	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane!
most worthy thane	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane!
borrow'd robes	The thane of Cawdor lives: why do you dress me In borrow'd robes?	The thane of Cawdor lives: why do you dress me In borrow'd robes?
dress me In borrow'd robes?	The thane of Cawdor lives: why do you dress me In borrow'd robes?	The thane of Cawdor lives: why do you dress me In borrow'd robes?
his country's wreck	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.	Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
capital, confess'd and proved, Have overthrown him.	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.	Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
treasons capital	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.	Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
both He labour'd	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.	Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
[Aside] Glamis	[Aside] Glamis, and thane of Cawdor! The greatest is behind.	[Aside] Glamis, and thane of Cawdor!
thane of Cawdor!	[Aside] Glamis, and thane of Cawdor! The greatest is behind.	[Aside] Glamis, and thane of Cawdor!
hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?	Thanks for your pains. Do you not hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?	Do you not hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?
enkindle you unto the crown, Besides the thane of Cawdor.	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence.	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor.
honest trifles	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you.	But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence.
Win us with honest trifles, to betray's In deepest consequence.	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you.	But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence.
