sub_sentence	context
O worthiest cousin	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin! The sin of my ingratitude even now Was heavy on me: thou art so far before That swiftest wing of recompense is slow To overtake thee.
wing of recompense is slow To overtake thee.	O worthiest cousin! The sin of my ingratitude even now Was heavy on me: thou art so far before That swiftest wing of recompense is slow To overtake thee. Would thou hadst less deserved, That the proportion both of thanks and payment Might have been mine!
loyalty I owe, In doing it, pays itself.	The service and the loyalty I owe, In doing it, pays itself. Your highness' part Is to receive our duties; and our duties Are to your throne and state children and servants, Which do but what they should, by doing every thing Safe toward your love and honour.
Your highness' part	The service and the loyalty I owe, In doing it, pays itself. Your highness' part Is to receive our duties; and our duties Are to your throne and state children and servants, Which do but what they should, by doing every thing Safe toward your love and honour.
Safe toward your love and honour.	The service and the loyalty I owe, In doing it, pays itself. Your highness' part Is to receive our duties; and our duties Are to your throne and state children and servants, Which do but what they should, by doing every thing Safe toward your love and honour.
hold thee to my heart.	Welcome hither: I have begun to plant thee, and will labour To make thee full of growing. Noble Banquo, That hast no less deserved, nor must be known No less to have done so, let me enfold thee And hold thee to my heart.
Noble Banquo	Welcome hither: I have begun to plant thee, and will labour To make thee full of growing. Noble Banquo, That hast no less deserved, nor must be known No less to have done so, let me enfold thee And hold thee to my heart.
My plenteous joys	My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow. Sons, kinsmen, thanes, And you whose places are the nearest, know We will establish our estate upon Our eldest, Malcolm, whom we name hereafter The Prince of Cumberland; which honour must Not unaccompanied invest him only, But signs of nobleness, like stars, shall shine On all deservers.
Wanton in fulness, seek to hide themselves In drops of sorrow.	My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow. Sons, kinsmen, thanes, And you whose places are the nearest, know We will establish our estate upon Our eldest, Malcolm, whom we name hereafter The Prince of Cumberland; which honour must Not unaccompanied invest him only, But signs of nobleness, like stars, shall shine On all deservers.
eldest, Malcolm, whom we name hereafter The Prince of Cumberland; which honour must Not unaccompanied invest him only, But signs of nobleness, like stars, shall shine On all deservers.	My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow. Sons, kinsmen, thanes, And you whose places are the nearest, know We will establish our estate upon Our eldest, Malcolm, whom we name hereafter The Prince of Cumberland; which honour must Not unaccompanied invest him only, But signs of nobleness, like stars, shall shine On all deservers. From hence to Inverness, And bind us further to you.
labour, which is not used for you: I'll be myself the harbinger and make joyful The hearing of my wife with your approach; So humbly take my leave.	The rest is labour, which is not used for you: I'll be myself the harbinger and make joyful The hearing of my wife with your approach; So humbly take my leave.
joyful The hearing	The rest is labour, which is not used for you: I'll be myself the harbinger and make joyful The hearing of my wife with your approach; So humbly take my leave.
My worthy Cawdor	My worthy Cawdor!
Prince of Cumberland!	[Aside] The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, For in my way it lies.
fall down, or else o'erleap, For in my way it lies.	[Aside] The Prince of Cumberland! that is a step On which I must fall down, or else o'erleap, For in my way it lies. Stars, hide your fires; Let not light see my black and deep desires: The eye wink at the hand; yet let that be, Which the eye fears, when it is done, to see.
my black and deep desires	that is a step On which I must fall down, or else o'erleap, For in my way it lies. Stars, hide your fires; Let not light see my black and deep desires: The eye wink at the hand; yet let that be, Which the eye fears, when it is done, to see.
fears, when it is done, to see.	that is a step On which I must fall down, or else o'erleap, For in my way it lies. Stars, hide your fires; Let not light see my black and deep desires: The eye wink at the hand; yet let that be, Which the eye fears, when it is done, to see.
is a banquet to me.	True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.
True, worthy Banquo	True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.
a peerless kinsman	True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.
is a peerless kinsman.	True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.
mortal knowledge	'They met me in the day of success: and I have learned by the perfectest report, they have more in them than mortal knowledge. When I burned in desire to question them further, they made themselves air, into which they vanished.
more in them than mortal knowledge.	'They met me in the day of success: and I have learned by the perfectest report, they have more in them than mortal knowledge. When I burned in desire to question them further, they made themselves air, into which they vanished.
wonder of it, came missives from the king, who all-hailed me 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with 'Hail, king that shalt be!'	When I burned in desire to question them further, they made themselves air, into which they vanished. Whiles I stood rapt in the wonder of it, came missives from the king, who all-hailed me 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with 'Hail, king that shalt be!' This have I thought good to deliver thee, my dearest partner of greatness, that thou mightst not lose the dues of rejoicing, by being ignorant of what greatness is promised thee.
my dearest partner	Whiles I stood rapt in the wonder of it, came missives from the king, who all-hailed me 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with 'Hail, king that shalt be!' This have I thought good to deliver thee, my dearest partner of greatness, that thou mightst not lose the dues of rejoicing, by being ignorant of what greatness is promised thee. Lay it to thy heart, and farewell.'
deliver thee, my dearest partner of greatness, that thou mightst not lose the dues of rejoicing, by being ignorant of what greatness is promised thee.	Whiles I stood rapt in the wonder of it, came missives from the king, who all-hailed me 'Thane of Cawdor;' by which title, before, these weird sisters saluted me, and referred me to the coming on of time, with 'Hail, king that shalt be!' This have I thought good to deliver thee, my dearest partner of greatness, that thou mightst not lose the dues of rejoicing, by being ignorant of what greatness is promised thee. Lay it to thy heart, and farewell.'
