ORIGINAL	TRANSLATED
I shall the effect of this good lesson keep, As watchman to my heart. But, good my brother, Do not, as some ungracious pastors do, Show me the steep and thorny way to heaven; Whiles, like a puff’d and reckless libertine, Himself the primrose path of dalliance treads, And recks not his own rede.	I will remember this good advice and guard it carefully. But, my dear brother, don't be like those bad priests who point out the difficult and painful path to heaven, while they themselves carelessly stroll down the easy road of pleasure, ignoring their own teachings.

O, fear me not. I stay too long: but here my father comes. (A double blessing is a double grace; Occasion smiles upon a second leave.)	Don't worry about me. I'm staying too long. But here comes my father. (Getting two blessings is twice as lucky; this is a good opportunity for a second goodbye.)

Yet here, Laertes! aboard, aboard, for shame! The wind sits in the shoulder of your sail, And you are stay’d for. There; my blessing with thee! And these few precepts in thy memory See thou character. Give thy thoughts no tongue, Nor any unproportion’d thought his act. Be thou familiar, but by no means vulgar. Those friends thou hast, and their adoption tried, Grapple them to thy soul with hoops of steel; But do not dull thy palm with entertainment Of each new-hatch’d, unfledged comrade. Beware Of entrance to a quarrel, but being in, Bear’t that the opposed may beware of thee. Give every man thy ear, but few thy voice; Take each man’s censure, but reserve thy judgment. Costly thy habit as thy purse can buy, But not express’d in fancy; rich, not gaudy; For the apparel oft proclaims the man, And they in France of the best rank and station Are of a most select and generous chief in that. Neither a borrower nor a lender be; For loan oft loses both itself and friend, And borrowing dulls the edge of husbandry. This above all: to thine ownself be true, And it must follow, as the night the day, Thou canst not then be false to any man. Farewell: my blessing season this in thee!	Now, Laertes, get on board, for goodness' sake! The wind is blowing favorably for your journey, and people are waiting for you. There, take my blessing with you! And remember these few pieces of advice: Don't always say what you're thinking, and don't act on every impulsive thought. Be friendly, but not too casual. Hold onto your proven friends tightly, but don't waste your time on every new acquaintance. Avoid getting into fights, but if you do, make sure your opponent regrets it. Listen to everyone, but speak to few. Hear everyone's opinions, but form your own conclusions. Dress as well as you can afford, but don't be flashy; be rich, not gaudy. Clothes often reveal the person, and in France, the upper class are particularly well-dressed and refined. Don't borrow or lend money; loans often ruin both the loan and the friendship, and borrowing makes you careless with your finances. Above all, be true to yourself, and then you can't be false to anyone. Farewell! May my blessing guide you!

Most humbly do I take my leave, my lord.	I humbly say goodbye, my lord.

The time invites you; go; your servants tend.	It's time to go; your servants are waiting.

Farewell, Ophelia; and remember well What I have said to you.	Goodbye, Ophelia, and remember carefully what I've told you.

’Tis in my memory lock’d, And you yourself shall keep the key of it.	It's locked in my memory, and you alone will hold the key to it.

Farewell. (Exit.)	Goodbye. (He leaves.)

What is’t, Ophelia, he hath said to you?	What did he say to you, Ophelia?

So please you, something touching the Lord Hamlet.	If you'd like, I have something to say about Prince Hamlet.

Marry, well bethought: ’Tis told me, he hath very oft of late Given private time to you; and you yourself Have of your audience been most free and bounteous: If it be so, as so ’tis put on me, And that in way of caution, I must tell you, You do not understand yourself so clearly As it behoves my daughter and your honour. What is between you? give me up the truth.	Oh, that’s a good point! I’ve been told that he’s been spending a lot of time with you privately recently, and you yourself have been very generous with your attention to him. If that’s true, as I’ve been told it is, and I’m saying this as a warning, then I must tell you, you’re not thinking clearly about what’s proper for my daughter and your reputation. What’s going on between you? Tell me the truth.

He hath, my lord, of late made many tenders Of his affection to me.	My lord, he has lately shown me a lot of affection.

Affection! pooh! you speak like a green girl, Unsifted in such perilous circumstance. Do you believe his tenders, as you call them?	Affection! Nonsense! You're talking like a naive young girl, inexperienced in such dangerous situations. Do you actually believe his offers of love?

I do not know, my lord, what I should think.	I don't know, sir, what to think.

Marry, I’ll teach you: think yourself a baby; That you have ta’en these tenders for true pay, Which are not sterling. Tender yourself more dearly; Or—not to crack the wind of the poor phrase, Running it thus—you’ll tender me a fool.	Indeed, I'll explain it to you: consider yourself naive, believing these offers were genuine, when they're worthless. Value yourself more highly; or—not to wear out this tired expression by repeating it—you'll make me look like a fool.

My lord, he hath importuned me with love In honourable fashion.	My lord, he has earnestly pursued me with his love in a respectable way.

Ay, fashion you may call it; go to, go to.	Yes, you can call it fashion; get on with it.

And hath given countenance to his speech, my lord, With almost all the holy vows of heaven.	And supported his words, my lord, with nearly every sacred promise imaginable.
